City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
172,komsomolskiy,40.4272,71.7189,3.4,87,100,4.12,UZ,1675557113
173,prince george,53.9166,-122.753,5.69,65,20,4.12,CA,1675557040
174,multan,30.1956,71.4753,11.94,76,0,0.0,PK,1675557113
175,port lincoln,-34.7333,135.8667,20.06,58,47,3.1,AU,1675557114
176,dimbokro,6.6451,-4.7048,25.4,73,100,4.08,CI,1675557114
177,paracatu,-17.2222,-46.8747,22.63,80,85,1.42,BR,1675557114
178,nikel,69.4128,30.222,-12.9,100,55,1.74,RU,1675557115
179,sioux lookout,50.1001,-91.917,-14.96,78,100,0.0,CA,1675557115
180,san juan,-31.5375,-68.5364,27.92,27,1,2.51,AR,1675557116
181,lichtenfels,50.1457,11.0593,-0.48,93,41,0.45,DE,1675557116
182,lavrentiya,65.5833,-171.0,-22.43,91,94,3.2,RU,1675557117
183,labuhan,-6.8844,112.2051,26.62,83,98,3.64,ID,1675557117
184,deputatskiy,69.3,139.9,-32.99,99,100,1.11,RU,1675557117
